chamber,district,name,party,israel_stance,confidence,rationale
city_council,6,Gale A. Brewer,Democratic,support,inferred,"Brewer is a self-described strong supporter of the Jewish state, opposes BDS, has visited Israel multiple times including Iron Dome sites, though she has also acknowledged concerns about excessive Israeli military operations."
city_council,7,Shaun Abreu,Democratic,neutral,inferred,"Abreu has received backing from pro-Israel Solidarity PAC (~$8,100 in fundraisers), but was also listed on Canary Mission (a pro-Israel site that profiles pro-Palestine advocates), and left the Progressive Caucus in 2023. His actual stated position on the conflict is unclear and appears mixed."
city_council,8,Elsie Encarnacion,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,9,Yusef Salaam,Democratic,oppose,inferred,"Salaam called for an immediate ceasefire in Gaza on November 20, 2023, before even taking office, urging Biden to call on the Israeli government for ""an immediate, durable and sustainable ceasefire."""
city_council,10,Carmen De La Rosa,Democratic,oppose,inferred,"De La Rosa signed a Local Progress letter on January 9, 2024 calling for ""a durable ceasefire"" in Gaza."
city_council,11,Eric Dinowitz,Democratic,strongly_support,inferred,"Dinowitz is Chair of the Council Jewish Caucus, strongly condemned Hamas on Oct 7, denounced pro-Palestinian rallies, traveled to Israel visiting a kibbutz, sponsored the buffer zone bill for schools, received Solidarity PAC backing, and stood with CUNY professors who resigned over an anti-Israel union resolution."
city_council,12,Kevin C. Riley,Democratic,neutral,inferred,"Riley participated in a JCRC-organized trip to Israel in November 2022, suggesting engagement with the Jewish community and openness to Israel, but no public statements on the conflict were found."
city_council,13,Shirley Aldebol,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,14,Pierina Ana Sanchez,Democratic,oppose,inferred,"Sanchez signed a Local Progress letter on January 9, 2024 calling for ""a durable ceasefire"" in Gaza, aligning with the progressive pro-ceasefire bloc."
city_council,15,Oswald Feliz,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,16,Althea Stevens,Democratic,oppose,inferred,"Stevens signed a Local Progress letter on January 9, 2024 calling for ""a durable ceasefire"" in Gaza."
city_council,17,Justin Sanchez,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,18,Amanda Farias,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,19,Vickie Paladino,Republican,strongly_support,inferred,"Paladino is a staunch pro-Israel Republican who has opposed ceasefire proposals, supported Israel's military campaign, and strongly condemned Hamas. She stated a ceasefire should only come when ""Hamas surrenders."""
city_council,20,Sandra Ung,Democratic,support,inferred,"Represents Flushing, a district with a significant Jewish community presence. Has engaged with the Queens Jewish community, making a ""Jewish pitch"" during her council run. Previously staffed for Rep. Grace Meng in constituent services. Her outreach to the Jewish community and district demographics suggest pro-Israel leanings."
city_council,21,Shanel Thomas-Henry,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,22,Tiffany Caban,Democratic,strongly_oppose,inferred,"Caban was the first NYC Council member to call for a ceasefire (Oct 11, 2023), used the word ""genocide,"" participated in JVP Grand Central protest, and has been one of the most vocal pro-Palestine voices on the Council as a DSA member."
city_council,23,Linda Lee,Democratic,support,inferred,"Has actively hosted forums on combating antisemitism in partnership with the Simon Wiesenthal Center and engaged with the Queens Jewish community. Co-sponsored antisemitism-related legislation. Her proactive stance against antisemitism, engagement with Jewish organizations, and district in eastern Queens suggest support for Israel."
city_council,24,James F. Gennaro,Democratic,strongly_support,inferred,"Gennaro has been described as a ""passionate fighter for Israel"" with strong Orthodox Jewish community support, attended pro-Israel vigils, and has stood with the pro-Israel community his entire career."
city_council,25,Shekar Krishnan,Democratic,oppose,inferred,"Krishnan called for an immediate, permanent ceasefire and release of hostages in an April 2024 op-ed, and signed the Local Progress ceasefire letter, but did not use terms like ""genocide"" or ""apartheid."""
city_council,26,Julie Won,Democratic,oppose,inferred,"Won has expressed support for Palestinian rights, calling the ""murder and displacement of Palestinian children"" wrong, and stated she believes the war in Gaza must end and ceasefire must continue."
city_council,27,Nantasha Williams,Democratic,oppose,inferred,"Williams wore a ""Ceasefire Now"" button at the Dec 2023 Council meeting, signed the Local Progress ceasefire letter, and was one of 17 Council members supporting the ceasefire resolution."
city_council,28,Ty Hankerson,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,29,Lynn Schulman,Democratic,support,inferred,"Schulman is Vice Chair of the NYC Council Jewish Caucus (whose mission includes supporting Israel), received backing from the pro-Israel Solidarity PAC, and has advocated for antisemitism protections including threatening to override mayoral vetoes."
city_council,30,Phil Wong,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,31,Selvena N. Brooks-Powers,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,32,Joann Ariola,Republican,strongly_support,inferred,"Ariola is the Republican minority leader who condemned pro-Palestinian rallies, issued a joint statement against DSA's pro-Hamas rally, attended pro-Israel prayer events, and sought information about mayoral executive orders revoking anti-BDS protections."
city_council,33,Lincoln Restler,Democratic,oppose,inferred,"Restler signed both the Local Progress ceasefire letter and the Jewish elected officials' open letter criticizing Israel's military campaign in Gaza, while also condemning Hamas and calling for hostage release."
city_council,34,Jennifer Gutierrez,Democratic,strongly_oppose,inferred,"Gutierrez wore a ""Ceasefire Now"" shirt at the Dec 2023 Council meeting, signed the JVP open letter to Biden calling for ceasefire, abstained from the ""End Jew Hatred"" resolution, and was a prominent ceasefire advocate."
city_council,35,Crystal Hudson,Democratic,oppose,inferred,"Hudson signed the Local Progress ceasefire letter and was listed among the 17 council members supporting the ceasefire resolution, though she has been less vocal than some colleagues."
city_council,36,Chi Osse,Democratic,strongly_oppose,inferred,"Osse is a DSA member who called for a ceasefire, participated in the JVP Grand Central protest, wore a ""Ceasefire Now"" shirt at Council, and issued a statement calling occupation the ""primary root of violence"" while affirming Palestinian liberation as legitimate."
city_council,37,Sandy Nurse,Democratic,strongly_oppose,inferred,"Nurse was co-chair of the Council Progressive Caucus, called for ceasefire on Oct 12, 2023, voted against the ""End Jew Hatred"" resolution, and participated in the JVP Grand Central protest."
city_council,38,Alexa Aviles,Democratic,strongly_oppose,inferred,"Aviles is a DSA member who supports BDS, signed the JVP ceasefire letter, abstained from the ""End Jew Hatred"" resolution, and has been one of the most vocal pro-Palestine council members."
city_council,39,Shahana Hanif,Democratic,strongly_oppose,inferred,"Hanif is among the most vocal anti-Israel members of the Council, having used the terms ""genocide"" and ""apartheid,"" been arrested at a pro-Palestinian rally, voted against ""End Jew Hatred Day,"" and endorsed the ""Leave It Blank"" campaign against Biden over Gaza policy."
city_council,40,Rita Joseph,Democratic,oppose,inferred,"Joseph was listed among the 17 council members supporting the ceasefire resolution and spoke at the 24-hour City Hall vigil in support of a ceasefire, though she abstained from the ""End Jew Hatred"" vote claiming she didn't have time to review it."
city_council,41,Darlene Mealy,Democratic,support,inferred,"Participated in a 2015 JCRC/UJA-sponsored delegation trip to Israel despite significant community opposition. Her willingness to go on this pro-Israel trip, organized by major Jewish organizations, indicates a supportive stance toward Israel."
city_council,42,Chris Banks,Democratic,neutral,unknown,No public Israel-related statements found after web research
city_council,43,Susan Zhuang,Democratic,support,inferred,"Zhuang received backing from Solidarity PAC, a pro-Israel political action committee, and is described as a conservative Democrat. She was not among ceasefire advocates."
city_council,44,Simcha Felder,Democratic,strongly_support,inferred,"Felder is a conservative Democrat from Borough Park representing a large Orthodox Jewish constituency, has a long history of supporting Israel, and previously blocked UN renovation plans calling the UN ""anti-Israel."""
city_council,45,Farah N. Louis,Democratic,support,inferred,"Louis has stated she supports Israel and opposes BDS, has strong Jewish community backing including the Flatbush Jewish Community Coalition endorsement, and has consistently denounced antisemitism."
city_council,46,Mercedes Narcisse,Democratic,neutral,inferred,"Narcisse expressed sympathy for both sides, noting the ""devastating loss of life"" on both sides while emphasizing ""shared humanity."" She did not take a strong pro-Israel or pro-Palestine position."
city_council,47,Kayla Santosuosso,Democratic,oppose,inferred,"Santosuosso has deep ties to the Arab American community in Bay Ridge, previously worked for the Arab American Association under Linda Sarsour, worked in Palestine, and expressed empathy for Bay Ridge's Palestinian community's anger over Gaza. Her predecessor Justin Brannan supported the ceasefire resolution."
city_council,48,Inna Vernikov,Republican,strongly_support,inferred,"Vernikov is the most vocal pro-Israel member of the NYC Council, having worn an Israeli flag dress, attended pro-Israel counter-protests (bringing a gun to one), quit the women's caucus over hostage rhetoric, and been a leading voice against antisemitism."
city_council,49,Kamillah Hanks,Democratic,support,inferred,"Hanks traveled to Israel on a solidarity trip in February 2024, visiting Kibbutz Kfar Aza, and participated in Staten Island solidarity events for Israel. This was her second trip to Israel in three years."
city_council,50,David Carr,Republican,strongly_support,inferred,"Republican minority leader who joined lawsuit against Mayor Mamdani's revocation of policies protecting Jews and barring boycotts of Israel, including challenging the revocation of NYC's $300M+ Israel bond investments."
city_council,51,Frank Morano,Republican,strongly_support,inferred,"Republican council member who joined the lawsuit against Mayor Mamdani's revocation of anti-BDS policies and Israel bond investments, signaling strong pro-Israel stance."
senate,1,Anthony H. Palumbo,Republican,strongly_support,inferred,"Republican senator who cosponsored antisemitism protection bill S531, participated in hostage release rallies, and stated ""America must continue to stand in support of Israel."""
senate,2,Mario R. Mattera,Republican,strongly_support,inferred,"Republican senator who cosponsored antisemitism bill S531, organized and participated in Albany rallies for hostage release, and is a member of the Senate Minority Conference supporting Israel."
senate,3,Dean Murray,Republican,support,inferred,"Republican senator who is part of the Senate Republican Conference that has taken strong pro-Israel positions, though limited individual public statements found on Israel specifically."
senate,4,Monica R. Martinez,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,5,Steven D. Rhoads,Republican,strongly_support,inferred,"Republican senator who cosponsored both anti-BDS bill S1255 and antisemitism bill S531, participated in hostage release rallies, and called for unconditional release of hostages."
senate,6,Siela A. Bynoe,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,7,Jack M. Martins,Republican,strongly_support,inferred,"Primary sponsor of antisemitism bill S531, Chair of Senate Republican Antisemitism Working Group, previously introduced legislation to defund pro-BDS student groups, and strongly advocated for Israel at hostage rallies."
senate,8,Alexis Weik,Republican,support,inferred,"Republican senator who participated in hostage release advocacy alongside Run For Their Lives and Senate Republican Conference, though limited individual public statements on Israel found."
senate,9,Patricia Canzoneri-Fitzpatrick,Republican,strongly_support,inferred,"Member of Senate Republican Antisemitism Working Group, cosponsored S531, led letter to Governor to help New Yorkers stranded in Israel, and actively worked on antisemitism legislation."
senate,10,James Sanders Jr.,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,11,Toby Ann Stavisky,Democratic,support,inferred,"Jewish Democratic senator who sponsored legislation protecting Jewish and pro-Israel students on college campuses from antisemitism and discrimination, and spoke on Israel resolution during Senate session."
senate,12,Michael Gianaris,Democratic,support,inferred,"Gianaris has been strongly pro-Israel in legislative action, spearheading anti-BDS legislation and calling for increased security funding for Jewish and Muslim schools after Oct 7. He has framed BDS as fueling antisemitism while also addressing Islamophobia."
senate,13,Jessica Ramos,Democratic,oppose,inferred,"Called for a permanent ceasefire in Gaza, advocated for Palestinian speaking slot at DNC, and has been described as a longtime pro-Palestinian advocate."
senate,14,Leroy Comrie,Democratic,support,inferred,Comrie has engaged with Jewish institutions in his district and condemned antisemitic attacks. He met with Queens yeshivah principals and joined a joint statement condemning an antisemitic attack on a rabbi on Holocaust Remembrance Day.
senate,15,Joseph P. Addabbo Jr.,Democratic,strongly_support,inferred,"Primary sponsor of anti-BDS bill S1255 to prohibit NY from contracting with companies boycotting Israel, and publicly condemned DSA's anti-Israel boycott questionnaire as antisemitic."
senate,16,John C. Liu,Democratic,support,inferred,"Described as pro-Israel by multiple sources; endorsed Mamdani for mayor despite acknowledging a ""big disagreement"" on Israel, indicating Liu supports Israel while Mamdani is critical of it."
senate,17,Stephen T. Chan,Republican,neutral,unknown,No public Israel-related statements found after web research
senate,18,Julia Salazar,Democratic,strongly_oppose,inferred,"DSA member who supports BDS, co-sponsors ""Not On Our Dime"" bill S606, called for immediate ceasefire, used ""genocide"" and ""apartheid"" language regarding Israel, and was an early and vocal advocate for Palestinian liberation."
senate,19,Roxanne J. Persaud,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,20,Zellnor Myrie,Democratic,support,inferred,"Condemned Hamas' Oct 7 attack, affirmed Israel's right to self-defense, condemned anti-Jewish harassment at pro-Palestinian protests, and courted Orthodox Jewish voters in his mayoral campaign. Has not called for ceasefire."
senate,21,Kevin S. Parker,Democratic,support,inferred,"Sponsored HOPE Act (S7034A) adopting IHRA antisemitism definition, previously urged federal support for Israel as an ally, and endorsed Israel's defense in 2009 statement."
senate,22,Sam Sutton,Democratic,strongly_support,inferred,"First Sephardic Orthodox Jewish state senator, co-sponsor of HOPE Act (S7034A) adopting IHRA antisemitism definition, represents heavily Jewish Brooklyn district (Borough Park, Midwood), and focuses on religious liberties and Jewish community needs."
senate,23,Jessica Scarcella-Spanton,Democratic,strongly_support,inferred,"Publicly stressed her ""strong backing of Israel,"" received Distinguished Legislator Award from COJO Flatbush, and strongly condemned Oct 7 attacks as a ""travesty."""
senate,24,Andrew J. Lanza,Republican,support,inferred,"Republican Deputy Minority Leader from Staten Island. Part of Senate Republican Conference that has uniformly supported Israel, though limited individual statements found."
senate,25,Jabari Brisport,Democratic,strongly_oppose,inferred,"Primary sponsor of ""Not On Our Dime"" bill S606, arrested at pro-Palestine protest, used both ""genocide"" and ""apartheid"" language regarding Israel, called for immediate ceasefire, and stood in solidarity with pro-Palestinian student encampments."
senate,26,Andrew Gounardes,Democratic,support,inferred,"Gounardes has publicly condemned anti-Israel graffiti as antisemitism and defended Jewish community members in Brooklyn. Called vandalism of Israeli restaurant ""antisemitism plain and simple"" and a ""clear example of when anti-Zionism becomes antisemitism."""
senate,27,Brian Kavanagh,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,28,Liz Krueger,Democratic,neutral,inferred,"Jewish senator who strongly condemned Oct 7 and demanded hostage release, but also criticized Netanyahu government's ""mass destruction of Gaza,"" called for ceasefire through negotiations, and signed open letter from Jewish officials critical of Israeli military conduct."
senate,29,Jose M. Serrano,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,30,Cordell Cleare,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,31,Robert Jackson,Democratic,strongly_oppose,inferred,"Co-sponsor of ""Not On Our Dime"" bill S606, joined JVP protest at Grand Central demanding ceasefire, and was among earliest state senators to publicly call for ceasefire in Gaza."
senate,32,Luis R. Sepulveda,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,33,Gustavo Rivera,Democratic,oppose,inferred,Progressive Bronx Democrat who has been associated with colleagues calling for ceasefire and humanitarian aid to Gaza. Referenced as a collaborator with Senators Salazar and Gonzalez on related legislation.
senate,34,Nathalia Fernandez,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,35,Andrea Stewart-Cousins,Democratic,support,inferred,"As Senate Majority Leader, attended the ""Westchester Stands With Israel"" rally on Oct 10, 2023 at Temple Israel of White Plains. Deliberately avoided bringing the Israel-Gaza conflict to the Senate floor, stating the legislature should focus on state-level issues rather than international matters."
senate,36,Jamaal T. Bailey,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,37,Shelley B. Mayer,Democratic,strongly_support,inferred,"Jewish state senator who issued strong pro-Israel statement (""We stand in full support of Israel""), attended Westchester rally for Israel, switched endorsement from Rep. Bowman to Latimer over Bowman's Israel stance, and has vocally condemned antisemitism."
senate,38,Bill Weber,Republican,strongly_support,inferred,"Republican member of the Senate Antisemitism Working Group, co-sponsored S531 antisemitism vandalism act, sponsored S7752 Combating Campus Antisemitism Act, and has been vocal about rising antisemitism after Oct 7."
senate,39,Rob Rolison,Republican,strongly_support,inferred,"Republican who co-sponsored S531 antisemitism vandalism act, joined the Senate Antisemitism Working Group, and has focused on combating antisemitism and holding officials accountable for protecting Jewish communities."
senate,40,Pete Harckham,Democratic,support,inferred,"Westchester Democrat who has engaged with the Jewish community, honored residents during Jewish American Heritage Month, and spoken about combating antisemitism, but has not made strong public statements on the Israel-Gaza conflict specifically."
senate,41,Michelle Hinchey,Democratic,support,inferred,"Hinchey, who is Jewish on her mother's side, spoke at a ""Stand with Israel"" prayer service days after Oct 7 attacks. She expressed solidarity with the Jewish community while also condemning anti-Palestinian hate. Has not publicly called for ceasefire."
senate,42,James Skoufis,Democratic,neutral,inferred,"Has not taken a strong public position on Israel-Gaza. As Investigations Committee chair, was involved in discussions about campus antisemitism at Columbia but has framed the issue in terms of party unity. Had a 2022 controversy involving statements blamed on the ""unvaccinated"" Jewish community."
senate,43,Jacob Ashby,Republican,support,inferred,"Republican and military veteran who posted on Facebook asking constituents to ""pray for Israel"" after the Oct 7 attacks. No detailed policy positions found but general solidarity expressed."
senate,44,James Tedisco,Republican,strongly_support,inferred,"Sponsored multiple antisemitism bills in direct response to Oct 7, including legislation to elevate cemetery desecration to hate crime felony and to expel students from SUNY/CUNY for antisemitic hate crimes. Explicitly referenced Hamas terrorist attack as motivating his legislative push."
senate,45,Daniel G. Stec,Republican,support,inferred,"As a member of the NY Senate Republican Conference, Stec participated in the conference's call to deploy the National Guard to Columbia University to protect Jewish students from pro-Hamas protests. He is specifically named in the conference's Columbia statement."
senate,46,Patricia Fahy,Democratic,neutral,inferred,Called for ceasefire and return of hostages but also condemned antisemitism and was challenged for not co-signing a Republican antisemitism bill. Introduced Holocaust Memorial legislation. Nuanced position balancing criticism of Netanyahu government with opposing antisemitism.
senate,47,Erik Bottcher,Democratic,strongly_support,inferred,"As NYC Council member, ""unequivocally condemned the violence"" of Oct 7 and pledged to ""stand with Israel."" Questioned CUNY chancellor on antisemitism. Endorsed by pro-Israel Zioness Action Fund which praised him for ""always standing with the Jewish community and the people of Israel."""
senate,48,Rachel May,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,49,Mark Walczyk,Republican,support,inferred,"Republican and US Army Reserve Captain who was deployed to the Middle East (Kuwait) for 290 days in 2024, overseeing military construction projects across Kuwait, Jordan, Saudi Arabia, Syria, and Iraq. His military service in the region and Republican conference membership suggest pro-Israel alignment, though no explicit Israel statement found."
senate,50,Christopher J. Ryan,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,51,Peter Oberacker,Republican,strongly_support,inferred,"Republican member of the Senate Antisemitism Working Group, co-sponsored S531 antisemitism vandalism act, sponsored S8774 expanding prohibition of Nazi symbol harassment. Called for antisemitism legislation to be a priority in Albany. Represents district with a large Jewish community."
senate,52,Lea Webb,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,53,Joseph A. Griffo,Republican,strongly_support,inferred,"Republican member of the Senate Antisemitism Working Group, co-sponsored S531 antisemitism vandalism act, issued statement condemning murders of Israeli Embassy staff members in 2025. Long track record of antisemitism protection legislation."
senate,54,Pamela Helming,Republican,support,inferred,Republican who joined the Senate Republican antisemitism working group's 2024 report release and supported legislative recommendations to combat antisemitism. No specific Israel policy statements found but aligned with pro-Israel Republican caucus positions.
senate,55,Samra G. Brouk,Democratic,oppose,inferred,"Called for an immediate ceasefire in Gaza in March 2024, emphasizing humanitarian crisis. Framed her position around protecting civilian lives, women and children, but did not use ""genocide"" or ""apartheid"" language."
senate,56,Jeremy Cooney,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,57,George M. Borrello,Republican,strongly_support,inferred,"Borrello has been vocal in condemning pro-Hamas protests, calling for action against antisemitism at Columbia, and criticizing ""DSA radicals"" for antisemitic rhetoric. Signed Columbia National Guard letter and participated in Senate Republican Conference antisemitism initiatives."
senate,58,Thomas F. O'Mara,Republican,support,inferred,O'Mara called on Democratic committee chairs to demand answers from Columbia University President over antisemitism on campus. Member of Senate Republican Conference that pushed antisemitism legislation package.
senate,59,Kristen Gonzalez,Democratic,strongly_oppose,inferred,"DSA-backed senator who called Israeli actions ""genocidal,"" called for unconditional ceasefire on Oct 13, 2023, and co-sponsored S606 ""Not On Our Dime"" anti-settlement bill. One of the most vocal critics of Israel's military operations in the NY State Senate."
senate,60,Patrick M. Gallivan,Republican,support,inferred,"As Senate Minority Whip and member of the Republican Conference, Gallivan was part of the conference-wide actions on Columbia antisemitism and the antisemitism legislation package, though no individual statements found."
senate,61,Jeremy J. Zellner,Democratic,neutral,unknown,No public Israel-related statements found after web research
senate,62,Robert G. Ortt,Republican,strongly_support,inferred,"Senate Republican Leader who created the Antisemitism Working Group in Feb 2023, led the conference's antisemitism report and legislative package, and co-authored letter urging Governor Hochul to help New Yorkers stranded in Israel after Oct 7."
senate,63,April N.M. Baskin,Democratic,support,inferred,"Baskin is a prominent Black, Cherokee, and Jewish leader who served as VP of the Union for Reform Judaism and founded Joyous Justice, an organization combating antisemitism. Her deep Jewish communal leadership and professional work fighting antisemitism strongly suggest pro-Israel sympathies, though no explicit Israel/Gaza statement found as senator."
